青草町,,,松ケ枝マツガエ
相合谷町,,,犀川
暁町,1,1〜 6,味噌蔵町
,,7〜16,材木町
,,17〜48,味噌蔵町
,2,,
,〜,,材木町
,10,,
,11,1〜25,材木町
,,26〜45,味噌蔵町
,,46〜,材木町
,12,,
,〜,,材木町
,15,,
,16,1〜 8,材木町
,,9〜24,味噌蔵町
,,25〜,材木町
,17,1〜 9,材木町
,,10〜22,味噌蔵町
,,23、24,材木町
,18,1〜16,味噌蔵町
,,17〜29,材木町
,,30〜,味噌蔵町
,19,,
,〜,,味噌蔵町
,22,,
赤土町,,別記以外,緑
,,リ≪犀川右岸≫,大  徳
浅丘町,,,花  園
朝加屋町,,,東浅川
浅川町,,,東浅川
浅野本町,,,浅野町
浅野本町1丁目,,,浅野町
浅野本町2丁目,,,浅野町
旭町１丁目,,,田上
旭町２丁目,,,田上
旭町３丁目,,,田上
朝日牧町,,,朝日
小豆沢町,,,俵
油車,,,新竪町
天池町,,,犀川
荒屋町,,,千坂
荒屋１丁目,,,千坂
荒山町,,,医王山
有松１丁目,1,1〜 8,三馬
,,9〜17,弥生
,,18〜26,三馬
,2,1〜 7,三馬
,,8〜16,弥生
,,17〜27,三馬
,3,,
,〜,,三馬
,11,,
有松２丁目,1,,弥生
,2,,
,〜,,三馬
,18,,
有松３丁目,,,三馬
有松４丁目,,,三馬
有松５丁目,,,三馬
粟崎町,,,粟崎
粟崎町1丁目,,,粟崎
粟崎町2丁目,,,粟崎
粟崎町3丁目,,,粟崎
粟崎町4丁目,,,粟崎
粟崎町5丁目,,,粟崎
粟崎町6丁目,,,粟崎
粟崎浜町,,,粟崎
池田町立丁,,,新竪町
池田町1番丁,,,新竪町
池田町2番丁,,,新竪町
池田町3番丁,,,新竪町
池田町4番丁,,,新竪町
石黒町,,,湯涌
石引１丁目,,,小立野
石引２丁目,,,小立野
石引３丁目,,,小立野
石引４丁目,,,小立野
泉１丁目,1,1,野町
,,2〜22,弥生
,,23,野町
,2,1〜26,弥生
,,27〜34,野町
,,35〜38,弥生
,3,1〜24,弥生
,,25〜34,三馬
,,35〜37,野町
,,38〜42,弥生
,,43〜64,野町
,,65〜70,弥生
,4,,
,〜,,弥生
,7,,
泉２丁目,1,,
,〜,,弥生
,20,,
,21,1〜 5,弥生
,,6,三馬
,,7〜13,弥生
,,14〜21,三馬
,,22〜30,弥生
,22,1〜 8,弥生
,,9〜17,三馬
,,18〜21,弥生
,23,,
,〜,,三馬
,31,,
泉３丁目,1,,
,〜,,弥生
,6,,
,8,,
,〜,,三馬
,14,,
泉が丘1丁目,,,弥生
泉が丘2丁目,,,弥生
泉野町,,,泉野
泉野町1丁目,,,泉野
泉野町2丁目,,,泉野
泉野町3丁目,1,1〜 3,野町
,,4〜19,弥生
,,20〜35,野町
,2,,
,〜,,弥生
,19,,
泉野町4丁目,1,1〜 4,弥生
,,5〜30,泉野
,,31〜33,弥生
,2,,
,〜,,泉野
,11,,
,12,,
,〜,,弥生
,15,,
,16,,
,〜,,泉野
,19,,
,20,,弥生
,21,,弥生
,22,1〜13,弥生
,,14〜19,泉野
,,20〜37,弥生
泉野町5丁目,,,泉野
泉野町6丁目,1,,
,〜,,泉野
,11,,
,12,1、 2,弥生
,,3〜17,泉野
,,18〜34,弥生
,13,,泉野
,14,,泉野
,15,1〜 3,泉野
,,4〜11,弥生
,,12〜29,泉野
,,30〜33,弥生
,,34〜40,泉野
,16,,泉野
,17,1〜 8,泉野
,,9〜42,弥生
,,43,泉野
,18,,泉野
,19,1〜10,弥生
,,11〜41,泉野
,,42〜55,弥生
泉野出町,,,長坂台
泉野出町1丁目,,,泉野
泉野出町2丁目,1,,泉野
,2,,泉野
,3,,
,〜,,長坂台
,12,,
,13,,
,〜,,泉野
,18,,
,19,,
,〜,,長坂台
,25,,
,26,,
,〜,,泉野
,28,,
泉野出町3丁目,1,,弥生
,2,,泉野
,3,1〜 4,弥生
,,5〜29,泉野
,,30〜48,弥生
,4,,
,〜,,泉野
,16,,
泉野出町4丁目,,,長坂台
泉本町1丁目,,,三馬
泉本町2丁目,,,三馬
泉本町3丁目,,,三馬
泉本町4丁目,,,野町
泉本町5丁目,,,三馬
泉本町6丁目,,1〜20,野町
,,21〜41,三馬
,,42〜55,野町
,,56〜100,三馬
,,101〜106,野町
,,107〜148,三馬
泉本町7丁目,,,米泉
出雲町,,,戸板
磯部町,,,諸江町
板ヶ谷町,,,湯涌
市瀬町,,,牧山マキヤマ
